id,creditPoint,lessonCode,lessonName
432,2.0,312.105.1,实习调查
433,0.0,ENGL110037.03,大学英语I
434,2.0,322.014.1,胶体化学
435,3.0,MED130090.01,细胞和分子免疫学
436,2.0,313.048.1,宣传学导论
437,3.0,ECON130139,中级财务会计
438,3.0,313.010.1,现代新闻学研究
439,3.0,329.043.1,生物力学基础
440,2.0,370.023.1,天然物化学
441,1.0,212.031.2,德语视听II(下)
442,3.0,147.003.1,管理学导论
443,2.0,316.009.1,历史哲学
444,3.0,269.007.1.03,管理信息系统
445,2.0,317.014.1,国际组织
446,1.0,PEDU110018.03,足球(二)(男)
447,1.5,356.183.1.01,医学统计方法
448,3.0,SOCI120001.01,社会学导论
449,2.0,124.005.1,图形软件与多媒体初步
450,3.0,MECH130025.01,结构振动基础
451,3.0,268.007.1,统计学
452,2.0,357.010.1,健康教育学
453,2.0,312.153.1,德语影视
454,3.0,422.006.1,分析化学实验B2
455,2.0,MANA130185.01,奢侈品与时尚品产业营销
456,2.0,317.020.1,教育学
457,4.0,227.018.1,刑法I
458,10.0,212.105.1,基础韩国语(上)
459,2.0,327.053.1.01,票据法
460,2.0,101.067.1.01,英美电影思想价值研究
461,2.0,FORE130247,韩语词汇学
462,5.0,356.241.1.04,诊断学基础
463,5.0,MATH120009.01,数学分析Ⅱ
464,1.0,PEDU110006.29,篮球(二)(男)
465,3.0,314.209.2,专业日语(历史学)二
466,3.0,340.012.1,投资银行业务
467,6.0,334.153.1.01,毕业论文
468,2.0,117.019.1,系统学基础
469,2.0,103.021.1,英语视听
470,3.0,LAWS130010.02,经济法
471,2.0,212.032.1,德语高级口译
472,2.0,JOUR120003.01,公共关系学
473,6.0,CHEM130018.12,毕业论文
474,3.0,321.019.1,数字通信
475,2.0,JOUR130052.01,广告文案写作
476,3.0,BIOL130006,生物化学A(下)
477,2.0,PTSS110012.01,中共党史人物述评
478,1.0,212.093.2,英语听说II(下)
479,2.0,170.123.1,人类医学遗传学概论
480,3.0,333.011.1,企业经营战略
481,2.0,341.002.1,企业税务
482,3.0,334.135.2.01,专业英语(下)
483,3.0,MANA120003.04,会计学
484,2.0,316.036.1,应用伦理学
485,2.0,CHIN130093.01,西方古典美学
486,2.0,316.079.1,宗教与科学技术问题
487,1.0,PEDU110009.07,排球(一)(男)
488,2.0,117.035.1,教育与社会
489,2.0,MECH130095.01,基于Matlab的工程分析
490,1.0,COMP110002.27,计算机绘图与多媒体
491,2.0,339.033.1.01,CI战略
492,1.0,PEDU110027.03,羽毛球(一)(女)
493,2.0,FORE130145.01,英汉互译技巧II
494,2.0,101.077.1.01,应用伦理学
495,4.0,330.018.1,器件与集成电路原理
496,2.0,214.030.1,近代的世界
497,2.0,HIST119016.01,中国地图史
498,2.0,313.090.1,传播学研究方法
499,2.0,JOUR130143,声音制作与美学
500,2.0,LAWS110010.01,外国行政法
501,4.0,349.006.1,信息系统分析与设计(英)
502,2.0,PHPM130003,社会医学
503,3.0,341.031.1,金融计量分析
504,2.0,327.027.1,银行法
505,2.0,213.026.1,网络传播基础
506,2.0,INFO130123.01,概率论与随机过程
507,1.0,357.024.1.01,成本效益分析
508,2.0,ECON130024.01,经贸英语(上)
509,3.0,340.026.1,中外保险
510,2.0,312.152.1,德语文学史及作品选读(上)
511,2.0,POLI130078,英语听说(中高级)(下)
512,2.0,MECH130027.02,实验空气动力学
513,2.0,MED130146.11,基于疾病的多学科教学IV
514,2.0,POLI110008.01,日本经济概论
515,4.0,312.006.1,第二外语(法语)(上)
516,3.0,219.006.3,普通物理实验(下)
517,4.0,INFO120001.05,程序设计
518,2.0,313.231.1.01,广告摄影
519,2.0,0612.1.1,比较政治专题讨论
520,3.0,372.124.1,数字集成电路设计原理
521,3.0,LAWS130019.02,法律实务
522,1.0,PEDU110044.01,健美(二)(男)
523,2.0,PTSS110053.15,思想道德修养与法律基础
524,0.0,ENGL110037.06,大学英语I
525,3.0,326.014.1,国际贸易仓储和运输
526,2.0,CHEM119008.04,化学与人类
527,1.0,PEDU110106.05,形体健美
528,3.0,219.107.1,固体物理A
529,3.0,340.031.1.01,商业银行业务与管理
530,4.0,COMP120006.02,程序设计
531,2.0,POLI130117.01,国际贸易概论
532,4.0,331.002.1,电光源原理
533,2.0,312.147.1,英美概况
534,2.0,JOUR130091.01,广电制度与政策法规
535,4.0,FORE110016.01,留学生专业汉语I
536,3.0,318.005.1,泛函分析B
537,1.0,PEDU110042.03,健美操(二)(女)
538,2.0,1267.1.1,计算机接口技术
539,3.0,327.078.1,行政法
540,1.0,157.020.1,管理保健
541,1.5,270.006.1,生物化学实验
542,2.0,MECH130061.01,水动力学
543,2.0,FORE130007.02,英语写作I(上)
544,3.0,PHYS130056,近代物理实验A
545,2.0,322.115.2,无机化学和化学分析实验Ⅱ
546,2.0,MATE130045.01,专业英语(电子科学与技术)
547,2.0,211.002.1,古代文学作品导读
548,1.0,PHPM110037.01,营养状况自我评价
549,2.0,SOCI130042.01,组织社会学
550,2.0,172.036.1,VisualFoxpro程序设计
551,4.5,356.005.1,内科学(上)
552,2.0,CHIN130077.01,文学名著研究
553,2.0,LAWS130018,法理学
554,4.0,FORE130003.03,中级英语(上)
555,1.0,INFO110041.17,计算机网络与网页制作
556,1.0,PEDU110022.04,乒乓球(二)(男)
557,2.0,319.025.1,单片机原理及应用
558,2.0,335.012.1,古文字学基础
559,3.0,268.006.1,会计学
560,2.0,221.009.1,微机实验
561,2.0,ECON130016.03,社会实践
562,1.0,PEDU110077.07,网球
563,2.0,PTSS110016.02,当代世界经济与政治
564,4.0,FORE130184.01,第二外语(法语)(中)
565,3.0,LAWS130014,国际经济法导论
566,4.0,318.151.2,高等代数II
567,5.0,MATH130001.07,数学分析III
568,2.0,FORE130086,日本报刊选读
569,2.0,112.008.2,基础法语(下)
570,1.5,BIOL130002.03,植物学实验
571,2.0,234.007.1,西方社会思想史(上)
572,3.0,INFO130056.01,数据库引论A
573,3.0,321.021.1,通信系统实验(上)
574,2.0,316.033.1,佛教哲学
575,3.5,218.015.1,数理方程B1
576,1.0,CHEM120002.01,普通化学实验
577,3.0,329.011.1,非线性力学
578,2.0,POLI130053.01,人力资源开发与管理
579,3.0,313.006.1,高级新闻写作
580,3.0,MANA120003.11,会计学
581,3.0,101.007.1.04,邓小平理论概论
582,2.0,314.133.1.01,中国近现代城市史
583,3.0,INFO130160,信号与系统B
584,3.0,222.005.2.02,有机化学A(下)
585,3.0,172.019.1,计算机网络与数据库
586,3.0,MATE130010,材料物理
587,2.0,212.054.1,韩国语泛读I
588,3.0,COMP110005.02,C程序设计
589,6.0,CHEM130018.17,毕业论文
590,3.0,341.010.1,财务管理专题
591,2.0,ECON120004.01,当代西方经济学流派
592,3.0,PTSS110001.07,马克思主义基础理论
593,2.0,FORE130009.03,英语写作II(上)
594,2.0,317.130.1,文献检索与论文写作
595,2.0,FORE130009.02,英语写作II(上)
596,1.0,PHAR130063.01,临床药理学实验
597,3.0,MATE130002,材料科学基础
